trace_name,trace_path,n_req,miss_ratio,throughput_mqps
cluster1.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster1.oracleGeneral.sample10.zst,820195910,0.000000,14.5900
cluster10.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster10.oracleGeneral.sample10.zst,13916365,0.499900,3.7700
cluster11.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster11.oracleGeneral.sample10.zst,272048218,0.015700,3.7200
cluster12.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster12.oracleGeneral.sample10.zst,264985047,0.792400,1.3400
cluster13.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster13.oracleGeneral.sample10.zst,82546107,0.628400,1.9600
cluster14.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster14.oracleGeneral.sample10.zst,310715660,0.024200,3.9500
cluster15.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster15.oracleGeneral.sample10.zst,526407309,0.991500,0.9100
cluster16.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster16.oracleGeneral.sample10.zst,1063806482,0.001400,6.0600
cluster17.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster17.oracleGeneral.sample10.zst,883047506,0.000800,8.9000
cluster18.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster18.oracleGeneral.sample10.zst,1292200645,0.000900,6.9200
cluster19.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster19.oracleGeneral.sample10.zst,200696850,0.206400,1.5300
cluster2.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster2.oracleGeneral.sample10.zst,722935180,0.000500,11.9200
cluster20.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster20.oracleGeneral.sample10.zst,322149748,0.028400,5.5800
cluster21.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster21.oracleGeneral.sample10.zst,155071901,0.939700,0.5600
cluster22.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster22.oracleGeneral.sample10.zst,203024791,0.232400,1.7300
cluster23.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster23.oracleGeneral.sample10.zst,378395763,0.382800,1.6400
cluster24.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster24.oracleGeneral.sample10.zst,328062779,0.003700,6.3200
cluster26.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster26.oracleGeneral.sample10.zst,15519097,0.078900,5.4200
cluster27.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster27.oracleGeneral.sample10.zst,1207748023,0.428900,1.0600
cluster28.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster28.oracleGeneral.sample10.zst,547922220,0.012000,5.1100
cluster29.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster29.oracleGeneral.sample10.zst,698889960,0.046100,3.5500
cluster3.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster3.oracleGeneral.sample10.zst,86950524,0.007200,6.9000
