trace,num_requests,num_objects,req_gib,obj_gib,compulsory_miss_ratio,obj_size_req,obj_size_obj,freq_mean,time_span_sec,onehit_count,onehit_ratio
tencentBlock.ns9995.oracleGeneral.zst,1967441,138934,0.0018,0.0001,0.0706,1.0,1.0,14.161,781197,5977,0.043
tencentBlock.ns9988.oracleGeneral.zst,1389906,147760,0.0013,0.0001,0.1063,1.0,1.0,9.4065,781196,12654,0.0856
tencentBlock.ns9975.oracleGeneral.zst,1518713,269274,0.0014,0.0003,0.1773,1.0,1.0,5.64,781199,98114,0.3644
tencentBlock.ns9969.oracleGeneral.zst,17200627,692750,0.016,0.0006,0.0403,1.0,1.0,24.8295,781199,230127,0.3322
tencentBlock.ns9968.oracleGeneral.zst,1364337,183087,0.0013,0.0002,0.1342,1.0,1.0,7.4519,781194,85190,0.4653
tencentBlock.ns9959.oracleGeneral.zst,5675130,227879,0.0053,0.0002,0.0402,1.0,1.0,24.9041,781199,59909,0.2629
tencentBlock.ns9951.oracleGeneral.zst,4043845,698008,0.0038,0.0007,0.1726,1.0,1.0,5.7934,781199,501985,0.7192
tencentBlock.ns9937.oracleGeneral.zst,3371445,251082,0.0031,0.0002,0.0745,1.0,1.0,13.4277,781199,114539,0.4562
tencentBlock.ns9925.oracleGeneral.zst,9353430,328703,0.0087,0.0003,0.0351,1.0,1.0,28.4556,781199,128494,0.3909
tencentBlock.ns9918.oracleGeneral.zst,1977149,116536,0.0018,0.0001,0.0589,1.0,1.0,16.966,87735,45570,0.391
tencentBlock.ns9915.oracleGeneral.zst,59601409,2327009,0.0555,0.0022,0.039,1.0,1.0,25.6129,781199,194201,0.0835
tencentBlock.ns9904.oracleGeneral.zst,5778995,328193,0.0054,0.0003,0.0568,1.0,1.0,17.6085,781197,42963,0.1309
tencentBlock.ns9898.oracleGeneral.zst,2405465,245637,0.0022,0.0002,0.1021,1.0,1.0,9.7928,781199,34053,0.1386
tencentBlock.ns9891.oracleGeneral.zst,1500739,175407,0.0014,0.0002,0.1169,1.0,1.0,8.5558,781198,66634,0.3799
tencentBlock.ns9884.oracleGeneral.zst,31755791,2097030,0.0296,0.002,0.066,1.0,1.0,15.1432,781199,151915,0.0724
tencentBlock.ns9883.oracleGeneral.zst,5605332,186938,0.0052,0.0002,0.0334,1.0,1.0,29.985,781198,61400,0.3285
tencentBlock.ns9871.oracleGeneral.zst,2778586,247989,0.0026,0.0002,0.0893,1.0,1.0,11.2045,781196,5368,0.0216
tencentBlock.ns9863.oracleGeneral.zst,23662777,1331180,0.022,0.0012,0.0563,1.0,1.0,17.7758,287549,134946,0.1014
tencentBlock.ns9855.oracleGeneral.zst,39356966,2783221,0.0367,0.0026,0.0707,1.0,1.0,14.1408,781199,265861,0.0955
tencentBlock.ns9850.oracleGeneral.zst,128729025,4744149,0.1199,0.0044,0.0369,1.0,1.0,27.1343,781199,521480,0.1099
tencentBlock.ns9834.oracleGeneral.zst,4064867,116929,0.0038,0.0001,0.0288,1.0,1.0,34.7635,781199,43872,0.3752
tencentBlock.ns9819.oracleGeneral.zst,5568458,742672,0.0052,0.0007,0.1334,1.0,1.0,7.4979,781197,153814,0.2071
tencentBlock.ns9810.oracleGeneral.zst,6522269,335118,0.0061,0.0003,0.0514,1.0,1.0,19.4626,781199,79053,0.2359
tencentBlock.ns9806.oracleGeneral.zst,2330785,230836,0.0022,0.0002,0.099,1.0,1.0,10.0971,781199,63986,0.2772
tencentBlock.ns9804.oracleGeneral.zst,2989255,108114,0.0028,0.0001,0.0362,1.0,1.0,27.6491,781195,46626,0.4313
tencentBlock.ns9803.oracleGeneral.zst,4351007,288025,0.0041,0.0003,0.0662,1.0,1.0,15.1064,781197,112892,0.392
tencentBlock.ns9799.oracleGeneral.zst,5098543,742831,0.0047,0.0007,0.1457,1.0,1.0,6.8637,352347,279097,0.3757
tencentBlock.ns9798.oracleGeneral.zst,4062831,450923,0.0038,0.0004,0.111,1.0,1.0,9.01,781199,76532,0.1697
