# Warmup complete, cache full, starting collection

# ========== FINAL HIT POSITION HISTOGRAMS ==========
# small hit position distribution (total_hits=1182, max_pos=691, bin_size=35, n_buckets=20)
# bin_start,bin_end,count,ratio
small,0,34,114,0.096447
small,35,69,122,0.103215
small,70,104,66,0.055838
small,105,139,45,0.038071
small,140,174,40,0.033841
small,175,209,22,0.018613
small,210,244,51,0.043147
small,245,279,64,0.054146
small,280,314,67,0.056684
small,315,349,62,0.052453
small,350,384,64,0.054146
small,385,419,93,0.078680
small,420,454,41,0.034687
small,455,489,43,0.036379
small,490,524,37,0.031303
small,525,559,47,0.039763
small,560,594,71,0.060068
small,595,629,43,0.036379
small,630,664,65,0.054992
small,665,699,25,0.021151
# main hit position distribution (total_hits=45417, max_pos=6234, bin_size=312, n_buckets=20)
# bin_start,bin_end,count,ratio
main,0,311,5576,0.122773
main,312,623,4207,0.092631
main,624,935,4470,0.098421
main,936,1247,4474,0.098509
main,1248,1559,4029,0.088711
main,1560,1871,3819,0.084087
main,1872,2183,3490,0.076843
main,2184,2495,3090,0.068036
main,2496,2807,1295,0.028514
main,2808,3119,728,0.016029
main,3120,3431,706,0.015545
main,3432,3743,714,0.015721
main,3744,4055,657,0.014466
main,4056,4367,735,0.016183
main,4368,4679,818,0.018011
main,4680,4991,935,0.020587
main,4992,5303,1000,0.022018
main,5304,5615,1457,0.032080
main,5616,5927,1337,0.029438
main,5928,6239,1880,0.041394
# ghost hit position distribution (total_hits=914, max_pos=6168, bin_size=312, n_buckets=20)
# bin_start,bin_end,count,ratio
ghost,0,311,205,0.224289
ghost,312,623,80,0.087527
ghost,624,935,47,0.051422
ghost,936,1247,34,0.037199
ghost,1248,1559,32,0.035011
ghost,1560,1871,36,0.039387
ghost,1872,2183,24,0.026258
ghost,2184,2495,45,0.049234
ghost,2496,2807,43,0.047046
ghost,2808,3119,110,0.120350
ghost,3120,3431,38,0.041575
ghost,3432,3743,27,0.029540
ghost,3744,4055,23,0.025164
ghost,4056,4367,27,0.029540
ghost,4368,4679,42,0.045952
ghost,4680,4991,26,0.028446
ghost,4992,5303,16,0.017505
ghost,5304,5615,16,0.017505
ghost,5616,5927,24,0.026258
ghost,5928,6239,19,0.020788

# ========== SUMMARY ==========
# small: total_hits=1182, max_pos=691
# main:  total_hits=45417, max_pos=6234
# ghost: total_hits=914, max_pos=6168
